ID,YEAR,DEPARTMENT_DESCR,COLLEGE_DESCR,FTPT,FirstTerm_CreditHours,FirstTerm_GPA,OneYear retention,TwoYear retention
2716974,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,18,3.711,1,1
5944821,2019,Business Dean,College of Business,FT,0,0,,
3140862,2017,Early College High School,The University of Akron,FT,11,2.555,1,
5848576,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,8,0.375,,
0148636,2017,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,9,1.333,,
4844908,2019,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,5,1.06,,
3549312,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,2.513,,
6042197,2017,Early College High School,The University of Akron,FT,14,0,,
3439288,2016,School of Allied Health,College of Health & Human Sci,PT,0,0,1,
0941073,2018,Dept of Political Science,College of Arts & Sciences,FT,0,0,,
9245318,2021,Business Dean,College of Business,FT,13,2.523,,
9642954,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.543,1,1
1144243,2019,Accountancy,College of Business,FT,13,2.846,1,
6947691,2017,Early College High School,The University of Akron,FT,10,2.47,,
4845026,2020,Myers School of Art,College of Arts & Sciences,FT,0,0,,
0839006,2016,Arts & Sciences Dean,College of Arts & Sciences,FT,17,3.029,1,1
7641139,2021,School of Nursing,College of Health & Human Sci,PT,8,0.263,,
0739029,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,10,1.33,,
4327231,2016,Early College High School,The University of Akron,FT,12,3.5,1,1
7849656,2017,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,18,3.633,1,1
2044963,2020,Accountancy,College of Business,FT,6,0,,
4144686,2020,Department of Statistics,College of Arts & Sciences,FT,17,3.247,1,
7845200,2020,,The University of Akron,FT,15,0.44,,
9047645,2017,Engineering & Polymer Sci Dean,College of Engr & Polymer Sci,FT,10,2.78,1,
6925587,2017,Early College High School,The University of Akron,FT,15,3.387,,
2320257,2016,Dept of English,College of Arts & Sciences,FT,14,0,,
7540003,2016,Dept of Economics,College of Business,FT,14,3.25,1,1
5349568,2017,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,7,2.357,1,
3149294,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14.5,3.386,1,1
3143508,2018,School of Nursing,College of Health & Human Sci,FT,12,2.467,,
7527243,2016,School of Communication,College of Arts & Sciences,FT,5,0,,
1628689,2016,Engineering & Science Tech,College of Engr & Polymer Sci,PT,5,2.98,1,1
5544993,2021,Department of Biology,College of Arts & Sciences,FT,11,4,,
4148237,2016,,The University of Akron,FT,17,3.365,1,1
7740468,2017,Early College High School,The University of Akron,FT,5,0,,
7941996,2017,Department of Biology,College of Arts & Sciences,FT,8,1.688,,
8745243,2020,Dept of Political Science,College of Arts & Sciences,FT,16,0.131,,
5349029,2016,Early College High School,The University of Akron,FT,6,0.217,,
1243513,2018,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,15,3.86,1,1
1337802,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.486,1,
6041889,2019,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,1.029,,
0342985,2019,Dept of Marketing,College of Business,FT,17,3.929,1,1
5447771,2016,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,13,2.985,,
3941152,2016,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,16,1.613,,
4945333,2021,Social Work,College of Health & Human Sci,FT,9,3.8,,
8240955,2017,LBJFF School of Education,College of Arts & Sciences,FT,14,3.164,1,1
2048943,2017,School of Nursing,College of Health & Human Sci,FT,15,3.287,1,1
4347716,2017,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,14,3.829,1,1
5541137,2020,School of Communication,College of Arts & Sciences,FT,13,0,,
4444846,2019,Dept of Psychology,College of Arts & Sciences,FT,13,3.908,1,1
9744953,2019,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,16,3.938,1,1
5644418,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,10,2.55,,
3749342,2017,Business Dean,College of Business,FT,14,3.186,1,1
8344849,2019,School of Exercise & Nutr Sci,College of Health & Human Sci,PT,1,4,1,1
2641965,2018,,The University of Akron,FT,11,2.718,1,1
1443168,2020,,The University of Akron,FT,12,2.342,1,
9842020,2019,Dept of Computer Science,College of Engr & Polymer Sci,FT,16,2.263,1,
1045503,2021,,The University of Akron,FT,9,2.544,,
1843188,2021,School of Nursing,College of Health & Human Sci,FT,14,3.7,,
2949367,2016,Early College High School,The University of Akron,FT,12,3.65,1,1
4041086,2018,Dept of Psychology,College of Arts & Sciences,FT,3,0,1,1
9648850,2016,School of Communication,College of Arts & Sciences,FT,18,3.478,1,1
3248459,2017,,The University of Akron,FT,12,3.825,1,1
5949611,2016,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,14,3.3,1,1
7241153,2017,Myers School of Art,College of Arts & Sciences,FT,16,3.569,1,1
7541159,2017,Early College High School,The University of Akron,FT,4,1,1,
7542226,2018,Myers School of Art,College of Arts & Sciences,FT,15,3.8,,
9645252,2021,School of Nursing,College of Health & Human Sci,FT,13,3.077,,
1647719,2016,Department of Biology,College of Arts & Sciences,FT,11,3.473,1,1
7244052,2020,Accountancy,College of Business,FT,12,3.775,1,
9749057,2016,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,12,3.167,1,
8727212,2016,School of Allied Health,College of Health & Human Sci,FT,14,3.786,1,1
1145085,2021,Business Dean,College of Business,FT,14,3.7,,
1545042,2020,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,11,2.982,1,
9445345,2021,Dept of Psychology,College of Arts & Sciences,FT,13,4,,
0444341,2019,School of Nursing,College of Health & Human Sci,FT,16,3.25,1,1
8141483,2017,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,14,3.371,1,1
0725975,2016,Dept of Computer Science,College of Engr & Polymer Sci,FT,13,3.762,1,1
2638416,2016,Department of Biology,College of Arts & Sciences,FT,13,3.062,1,1
6647777,2016,Engineering & Science Tech,College of Engr & Polymer Sci,FT,12,2.638,1,
2049306,2016,LBJFF School of Education,College of Arts & Sciences,FT,5,2.8,1,
0748929,2016,School of Allied Health,College of Health & Human Sci,PT,7,2.114,1,
8149092,2016,Engineering & Science Tech,College of Engr & Polymer Sci,FT,6,0.233,,
0449322,2016,Accountancy,College of Business,FT,4,3.3,,
1349017,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.3,1,1
3048244,2016,,The University of Akron,FT,9,3.644,1,1
0740160,2016,Business Dean,College of Business,FT,13,2.423,1,
3627089,2017,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,9,1.333,1,
7947657,2017,Department of Biology,College of Arts & Sciences,FT,16,1.206,,
6825507,2016,Engineering & Science Tech,College of Engr & Polymer Sci,FT,13,4,,
2738669,2016,Department of Sociology,College of Arts & Sciences,FT,15,3.347,1,1
9045325,2021,LBJFF School of Education,College of Arts & Sciences,FT,12,2.675,,
0644457,2019,Disaster Sci & Emergency Serv,College of Health & Human Sci,FT,12,3.008,1,1
5348657,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,16,3.113,,
9549616,2016,Accountancy,College of Business,FT,16,3.188,1,1
6842979,2019,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,14,2.571,1,
7649023,2016,School of Allied Health,College of Health & Human Sci,FT,10,3.27,1,1
1919067,2016,LBJFF School of Education,College of Arts & Sciences,PT,2,4,1,
3043520,2018,Business Dean,College of Business,FT,13,3.423,1,1
9045022,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,3.653,1,
5544467,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,16,4,1,1
2644871,2020,LBJFF School of Education,College of Arts & Sciences,FT,5,3.4,1,
8737918,2016,LBJFF School of Education,College of Arts & Sciences,FT,16,3.813,1,1
8544666,2020,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,0.371,,
1041016,2017,Dept of English,College of Arts & Sciences,FT,16,3.869,1,1
0840753,2018,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,14,2.314,1,1
5949446,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.543,1,1
7042000,2017,Dept of Marketing,College of Business,FT,15,2.26,1,1
7245373,2021,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,12,3.95,,
9547751,2016,School of Nursing,College of Health & Human Sci,FT,9,2.789,,
3349447,2018,Dept of Computer Science,College of Engr & Polymer Sci,FT,15,3.327,,
5947641,2017,Department of Biology,College of Arts & Sciences,FT,8,2.838,1,1
9242999,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,16,3.869,1,1
9744952,2019,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,16,3.606,1,1
8944072,2019,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,16,3.606,1,1
8449034,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,8,2.813,1,1
6241446,2017,,The University of Akron,FT,12,3.542,1,1
2244638,2020,Department of Biology,College of Arts & Sciences,FT,9,0.333,1,
9938087,2016,LBJFF School of Education,College of Arts & Sciences,FT,12,2.825,1,1
9845265,2021,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,11,0.209,,
2443518,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.014,1,1
9543486,2018,School of Communication,College of Arts & Sciences,FT,10,1.97,1,1
7827159,2016,Dept of Marketing,College of Business,FT,17,3.088,1,1
3649928,2016,Department of Biology,College of Arts & Sciences,FT,15,2.78,1,1
1948586,2017,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,13,3.485,1,1
7544809,2018,School of Music,College of Arts & Sciences,FT,20,3.42,1,1
8344874,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,2.243,1,1
2444325,2019,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,17,4,1,1
3349296,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,10,2.62,1,1
7149315,2016,School of Communication,College of Arts & Sciences,FT,14,2.829,1,1
8949616,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13,2.538,1,1
5749527,2017,Early College High School,The University of Akron,FT,5,1.88,1,1
4144229,2019,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,13,2.962,1,1
7644844,2019,Dept of Finance,College of Business,FT,16,2.4,1,1
8244697,2020,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,4,1,
2745452,2021,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,3,2,,
0743179,2018,Wayne Instructional,College of Applied Sci & Tech,FT,6,1.65,1,1
7748959,2019,School of Nursing,College of Health & Human Sci,PT,8,0.213,1,1
0045151,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,3.46,1,
3344097,2021,Engineering & Science Tech,College of Engr & Polymer Sci,FT,16,2.963,,
1445328,2021,Dept of Psychology,College of Arts & Sciences,FT,10,1.95,,
4944703,2020,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,10,3.37,1,
0641134,2020,Arts & Sciences Dean,College of Arts & Sciences,FT,12,3.85,,
0347646,2017,School of Nursing,College of Health & Human Sci,FT,15,3.813,1,1
7644258,2020,Dept of Computer Science,College of Engr & Polymer Sci,FT,11,3.1,1,
6441966,2018,Disaster Sci & Emergency Serv,College of Health & Human Sci,FT,12,3.275,1,1
7743488,2018,LBJFF School of Education,College of Arts & Sciences,FT,12,3.525,1,1
6925532,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.571,1,1
2843247,2020,School of Nursing,College of Health & Human Sci,PT,11,3.8,1,
6941934,2019,School of Nursing,College of Health & Human Sci,FT,15,3.367,1,1
9043477,2018,,The University of Akron,FT,14,3.493,1,1
7644468,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,17,3.929,1,1
6345197,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,4,0,,
9842993,2019,School of Nursing,College of Health & Human Sci,FT,14,2.35,1,
2644908,2020,Business Dean,College of Business,FT,8,3.35,1,
0940469,2017,Accountancy,College of Business,FT,16,3.888,1,1
2944014,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,4,1,1
6044870,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,2.957,1,1
5744032,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,10,2.85,1,1
2844262,2020,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,3.55,1,
7542009,2017,Early College High School,The University of Akron,FT,16,3.206,1,
0145042,2020,Dept of Computer Science,College of Engr & Polymer Sci,FT,17,2.941,,
0745235,2021,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,6,0,,
7644000,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.029,1,1
1740746,2018,Department of Biology,College of Arts & Sciences,FT,8,3.088,1,
0441888,2017,Early College High School,The University of Akron,FT,2,0,,1
8240512,2018,,The University of Akron,FT,12,3.692,1,1
6138986,2016,Department of Biology,College of Arts & Sciences,FT,13,2.9,1,1
8139030,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,15,4,1,1
3149029,2018,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,18,4,1,
8647792,2017,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,15,3.687,1,1
3549402,2018,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,13,3.285,1,1
4743933,2020,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,16,3.925,1,
1149512,2017,Early College High School,The University of Akron,FT,9,1.556,1,1
9544132,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,0,0,,
3444534,2020,Department of Biology,College of Arts & Sciences,FT,6,2.95,1,
9443204,2021,School of Nursing,College of Health & Human Sci,FT,15,2.76,,
5448572,2017,,The University of Akron,FT,15,0.673,,
4043194,2018,School of Nursing,College of Health & Human Sci,FT,3,3.433,1,1
2838815,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,12,2.575,1,1
7544852,2021,School of Nursing,College of Health & Human Sci,FT,13,3.838,,
2244958,2019,LBJFF School of Education,College of Arts & Sciences,FT,11,3.727,1,
6442833,2018,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,3.871,1,1
1243203,2018,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,17,3.029,1,1
7738675,2019,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,14,3.371,1,1
6549699,2018,Department of Biology,College of Arts & Sciences,FT,12,1.008,1,1
1045350,2021,School of Nursing,College of Health & Human Sci,FT,11,0,,
4039022,2016,Engineering & Science Tech,College of Engr & Polymer Sci,FT,15,3.767,1,1
3839005,2016,Early College High School,The University of Akron,FT,5,2.38,,
5647589,2016,Social Work,College of Health & Human Sci,FT,15,2.553,1,1
0544275,2020,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,12,0,,
6044037,2018,School of Music,College of Arts & Sciences,FT,17,3.488,,
2640107,2017,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,18,3.728,1,1
9241111,2018,LBJFF School of Education,College of Arts & Sciences,FT,3,3.133,,
5744118,2019,Disaster Sci & Emergency Serv,College of Health & Human Sci,FT,12,1.8,,
8544560,2020,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,15,3.04,1,
5645085,2020,Dept of Geosciences,College of Arts & Sciences,PT,8,2.475,,
9538814,2016,Accountancy,College of Business,FT,17,2.765,,1
0140799,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,7,1.4,1,1
1941181,2017,Coll of App Sci & Tech Dean,College of Applied Sci & Tech,FT,9,2.122,1,1
5249702,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,11,3.727,1,1
7445408,2021,Engineering & Science Tech,College of Engr & Polymer Sci,FT,6,2,,
9845314,2021,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,12,4,,
6042610,2019,,The University of Akron,FT,9,2.889,1,1
9248521,2017,Arts & Sciences Dean,College of Arts & Sciences,FT,15,3.54,1,
4839232,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,10,2.54,1,1
7143204,2021,Business Dean,College of Business,FT,10,2.97,,
2942220,2018,School of Music,College of Arts & Sciences,FT,17,3.718,1,1
6844310,2020,Engineering & Science Tech,College of Engr & Polymer Sci,FT,7,0,,
8227254,2016,Engineering & Polymer Sci Dean,College of Engr & Polymer Sci,FT,8,0.713,,
2045264,2021,Business Dean,College of Business,FT,16,3.306,,
9543124,2019,Dept of Finance,College of Business,FT,16,3.381,1,1
3144143,2019,Department of Biology,College of Arts & Sciences,FT,15,1.287,1,1
8141134,2018,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,16,3.719,1,1
5027281,2016,LBJFF School of Education,College of Arts & Sciences,FT,10,0.4,,
6425803,2018,School of Nursing,College of Health & Human Sci,FT,9,3.156,1,1
9449051,2017,,The University of Akron,FT,13,2.692,1,
1038726,2016,Dept of Finance,College of Business,FT,13,2.615,1,1
3448837,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,16,3.694,1,1
4947858,2017,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,15,3.093,1,1
8740134,2018,School of Nursing,College of Health & Human Sci,FT,13,3.815,1,1
4149038,2018,Department of Biology,College of Arts & Sciences,FT,6,2.5,1,1
7349731,2018,Department of Biology,College of Arts & Sciences,FT,12,3.433,1,1
2849544,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,14,2.857,1,1
4644544,2020,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,0,,
1345013,2021,Accountancy,College of Business,FT,16,3.513,,
8145029,2020,Department of Biology,College of Arts & Sciences,FT,13,3.085,1,
3345015,2020,Dept of English,College of Arts & Sciences,FT,15,4,1,
4344351,2019,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,17,3.876,1,1
4441445,2018,School of Nursing,College of Health & Human Sci,FT,15,3.413,1,1
1645199,2020,Business Dean,College of Business,FT,12,2.675,1,
1345081,2020,School of Nursing,College of Health & Human Sci,FT,6,3.5,1,
9748600,2017,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,3.45,1,1
4244667,2020,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,0,0,1,
0939102,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,2.9,1,1
9540183,2017,Business Dean,College of Business,FT,11,2.773,1,1
4639232,2016,School of Music,College of Arts & Sciences,FT,16,2.925,1,1
2048858,2016,Dept of Computer Science,College of Engr & Polymer Sci,FT,15,2.527,,
7748388,2016,Business Dean,College of Business,FT,12,0.833,,
8843547,2018,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,2.429,,1
3745039,2020,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,10,2.04,1,
9127217,2016,LBJFF School of Education,College of Arts & Sciences,FT,15,3.58,1,1
0640107,2017,School of Nursing,College of Health & Human Sci,FT,16,3.525,1,1
7727237,2016,Dept of Marketing,College of Business,FT,17,3.412,1,1
0340755,2018,Dept of Psychology,College of Arts & Sciences,FT,14,3.436,1,1
9149312,2016,Department of Sociology,College of Arts & Sciences,FT,18,3.311,1,1
1238717,2016,Accountancy,College of Business,FT,6,3.7,1,1
2448281,2016,Dept of Marketing,College of Business,FT,9,2.622,,
8639107,2016,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,16,3.038,1,1
3041164,2017,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,16,3.431,1,1
9241056,2017,School of Nursing,College of Health & Human Sci,FT,12,2,,
4138735,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,3.229,1,1
6945222,2021,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,15,3.08,,
4238055,2016,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,11,2.2,,
0327257,2016,Business Dean,College of Business,FT,14,2.493,1,1
2745005,2019,Business Dean,College of Business,FT,1,0,1,
2149381,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.636,1,1
5940120,2017,School of Allied Health,College of Health & Human Sci,FT,10,3.49,1,
5044924,2019,Dept of Marketing,College of Business,FT,12,3.175,,
6742013,2018,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,11,2.955,1,1
7049504,2017,School of Nursing,College of Health & Human Sci,FT,13,2.285,,
6244883,2019,Dept of Computer Science,College of Engr & Polymer Sci,FT,16,2.994,,
8249471,2017,Arts & Sciences Dean,College of Arts & Sciences,FT,18,3.9,1,1
2749596,2017,Early College High School,The University of Akron,FT,5,0,,
5347895,2017,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,18,3.867,1,1
5348913,2016,Accountancy,College of Business,FT,13,3.7,1,1
2649473,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,8,1.963,1,1
1245398,2021,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,5,1.18,,
6449506,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.786,1,1
7145134,2020,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,16,3.75,1,
6838663,2016,Child & Family Development,College of Health & Human Sci,FT,15,3.94,1,1
8247824,2016,School of Nursing,College of Health & Human Sci,FT,14,3.243,1,1
7141697,2018,Dept of Marketing,College of Business,FT,8,3.363,1,1
1141133,2020,Department of Biology,College of Arts & Sciences,PT,9,0.822,,
5143026,2019,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,15,3.087,1,1
6049350,2017,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,10,3.67,1,1
0143913,2019,,The University of Akron,FT,15,3.86,1,1
6644650,2020,Department of Biology,College of Arts & Sciences,FT,10,2.28,1,
7645140,2020,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,3,2.3,1,
9845107,2020,Disaster Sci & Emergency Serv,College of Health & Human Sci,FT,14,3.371,1,
9825526,2019,Dept of Political Science,College of Arts & Sciences,PT,3,3,,
9938150,2017,Arts & Sciences Dean,College of Arts & Sciences,FT,8,1.938,1,1
7149648,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,PT,5,1.86,,
4440068,2017,Dept of Finance,College of Business,FT,17,3.518,1,1
9745399,2021,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,16,4,,
3344929,2019,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,11,2.7,1,1
3440690,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,3.653,1,1
6740388,2018,Dept of Psychology,College of Arts & Sciences,FT,14,3.714,1,1
3743916,2019,Arts & Sciences Dean,College of Arts & Sciences,FT,10,2,1,
6547731,2016,School of Nursing,College of Health & Human Sci,FT,10,0.51,,
4838866,2016,Engineering & Science Tech,College of Engr & Polymer Sci,FT,16,2.513,1,1
5239034,2016,Business Dean,College of Business,FT,15,3.753,1,1
1244246,2019,School of Nursing,College of Health & Human Sci,FT,5,3.22,1,1
1948936,2018,School of Nursing,College of Health & Human Sci,FT,12,2.583,1,1
1044557,2020,,The University of Akron,FT,17,3.424,1,
9645153,2020,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,9,3.111,1,
0443931,2019,Dept of Management,College of Business,FT,9,3.333,1,1
6745232,2021,School of Music,College of Arts & Sciences,FT,19,2.237,,
8741990,2019,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,4,1,1
7444360,2019,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,15,3.533,1,1
7843204,2021,Dept of Political Science,College of Arts & Sciences,FT,15,3.82,,
3644538,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,6,2.55,,
3149475,2017,Dept of Political Science,College of Arts & Sciences,FT,17,3.894,1,1
1343272,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,9,3.233,1,1
6927255,2016,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,14,3.564,1,1
5040125,2017,,The University of Akron,FT,2,4,1,1
2244968,2019,Dept of Psychology,College of Arts & Sciences,PT,5,2.3,1,1
4144838,2019,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,15,3.58,1,
8447725,2017,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,14,3.936,1,1
8344651,2020,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,3.757,1,
1744841,2019,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,16,3.431,1,1
5244831,2019,Dept of Finance,College of Business,FT,13,3.092,1,1
9844887,2019,LBJFF School of Education,College of Arts & Sciences,FT,18,3.833,1,1
4945354,2021,Dept of History,College of Arts & Sciences,FT,18,3.883,,
4945326,2021,School of Nursing,College of Health & Human Sci,FT,14,2.471,,
6249696,2018,School of Nursing,College of Health & Human Sci,FT,19,3.953,1,1
1542516,2020,Department of Biology,College of Arts & Sciences,FT,4,2.95,1,
1544890,2021,School of Music,College of Arts & Sciences,FT,21,3.481,,
0448899,2016,Engineering & Polymer Sci Dean,College of Engr & Polymer Sci,FT,16,3.413,1,1
7541117,2019,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,14,3.979,1,1
6348357,2017,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,12,2.592,1,1
5544870,2019,Dept of Finance,College of Business,FT,17,3.782,1,1
6048890,2016,Health & Human Sciences Dean,College of Health & Human Sci,FT,15,3.94,1,1
5445019,2020,Business Dean,College of Business,FT,14,3.636,1,
5649608,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,16,3.681,1,1
5543499,2018,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,18,3.817,1,1
3538976,2016,School of Nursing,College of Health & Human Sci,FT,10,0.14,,
7440003,2016,Business Dean,College of Business,FT,9,3.767,1,1
1345375,2021,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13,3.085,,
9549024,2016,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,11,2.345,,
1547589,2020,Accountancy,College of Business,FT,10,2.57,1,
7643186,2018,School of Nursing,College of Health & Human Sci,FT,2,4,,
3440491,2017,,The University of Akron,FT,11,2.7,1,
9344784,2020,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,3.85,1,
6344830,2019,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,18,3.95,1,1
9044347,2019,LBJFF School of Education,College of Arts & Sciences,FT,12,3.75,1,
1448605,2017,Department of Biology,College of Arts & Sciences,FT,13,3.369,1,1
7641134,2018,Dept of Chemistry,College of Arts & Sciences,FT,14,3.193,1,1
1341097,2018,Department of Sociology,College of Arts & Sciences,FT,6,1.5,1,1
8844826,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,11,2.236,1,1
5344875,2019,Department of Statistics,College of Arts & Sciences,FT,18,3.283,1,1
0945108,2021,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,13,1.762,,
2245049,2020,Accountancy,College of Business,FT,13,1.331,1,
2345172,2020,School of Nursing,College of Health & Human Sci,FT,16,3.169,1,
0545141,2020,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,8,1.5,,
4441180,2017,School of Nursing,College of Health & Human Sci,FT,9,3.278,1,1
4645252,2021,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,17,0,,
5944342,2019,LBJFF School of Education,College of Arts & Sciences,FT,14,3.45,1,1
5344028,2018,LBJFF School of Education,College of Arts & Sciences,FT,12,3.075,1,1
2743167,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,16,2.894,,
